type,sequence
train,3-1-1-1-1-1-1-1-1-1-1-1-1-4
train,1-1-17-18
train,1-1-3-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-4
train,5-6-5-3-4
train,8-3-4
validation,3-8-8-6-8-8-8-4
train,8-8-8-3-8-5-4
train,6-5-3-4
train,6-3-4
train,5-6-5-6-3-5-6-4
test,3-4
train,17-5-18
validation,6-5-6-5-6-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-5-6-5-3-4
validation,6-5-3-4
validation,17-9-0-2-0-2-18
train,6-5-6-40-40-41-7-7-7-7-7-7-7-7-7-7-7-7-7-23-0-2-5-6-3-4
train,5-6-3-5-4
train,6-3-5-4
test,6-3-4
train,40-40-41-22-7-7-7-7-7-7-7-7-22-40-40-41-7-7-3-4
train,5-6-3-5-6-4
train,3-4
train,3-4
train,3-4
train,3-4
train,17-18
